segment_id,facility_id,canonical_name,lbl,lbl_full,aliases,parent_system,facility_group,facility_type,network_role,ownership_class,owner_agency,operator_agency,project_family,project_name,project_division,project_unit,project_subunit,project_path,display_rank,display_rank_source,display_rank_reason,status,length_mi,geometry_source,geometry_decision,geometry_confidence,decision_id,source_major_rows,source_delta_rows,source_ids,blm_crosses,blm_length_mi,blm_pct_length,blm_nearest_mi,blm_crossing_count,blm_field_offices,search_text
CVY_1D3B4F53_S001,CVY_1D3B4F53,Pet Mill Ditch,Pet Mill Ditch,Pet Mill Ditch,,,Distribution/local,Ditch,Distribution,Unknown,NID,,Unknown/unassigned,Unassigned,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,3.3595561846498154,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,923,,MAJOR_0923,FALSE,0,0,3.2061878954930916,0,,pet mill ditch pet mill ditch   unknown/unassigned unassigned     nid  ditch
CVY_1D8CFE4E_S001,CVY_1D8CFE4E,White Rock Tunnel,White Rock Tunnel,White Rock Tunnel,,,Closed conveyance,Tunnel,Unknown,Unknown,SMUD,,Unknown/unassigned,Unassigned,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,5.133784023247633,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,1319,,MAJOR_1319,TRUE,0.07403226606854085,1.442060393138783,0,1,,white rock tunnel white rock tunnel   unknown/unassigned unassigned     smud  tunnel
CVY_1D8F6527_S001,CVY_1D8F6527,Tulare Irrigation Canal,Tulare Irrigation Canal,Tulare Irrigation Canal,,,Open conveyance,Canal,Unknown,Unknown,,,Unknown/unassigned,Unassigned,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,1.8781594496630178,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,504,DELTA_0504,FALSE,0,0,9.808311183644433,0,,tulare irrigation canal tulare irrigation canal   unknown/unassigned unassigned       canal
CVY_1DF12A29_S001,CVY_1DF12A29,KLAMATH D1 LATERAL,KLAMATH D1 LATERAL,KLAMATH D1 LATERAL,,,Distribution/local,Lateral,Distribution,Federal,,US Bureau of Reclamation,Other Reclamation,Klamath Project,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,3.933179764685575,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,225,DELTA_0225,FALSE,0,0,8.176281762502875,0,,klamath d1 lateral klamath d1 lateral   other reclamation klamath project      us bureau of reclamation lateral
CVY_1E43B652_S001,CVY_1E43B652,Main Canal,Main Canal,Main Canal,,,Open conveyance,Canal,Mainline,Local/regional public,,Merced Irrigation District,Local/regional public,Merced Irrigation District,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,20.61074362635708,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,341,DELTA_0341,FALSE,0,0,6.050881818269075,0,,main canal main canal   local/regional public merced irrigation district      merced irrigation district canal
CVY_1E540262_S001,CVY_1E540262,Mission Hills/Santa Inez Aqueduct Extension,Mission Hills/Santa Inez Aqueduct Extension,Mission Hills/Santa Inez Aqueduct Extension,,,Open conveyance,Aqueduct,Mainline,Local/regional public,,Local,Unknown/unassigned,Unassigned,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,28.387803475531157,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,1111,,MAJOR_1111,FALSE,0,0,0.8460314501437096,0,,mission hills/santa inez aqueduct extension mission hills/santa inez aqueduct extension   unknown/unassigned unassigned      local aqueduct
CVY_1E540262_S002,CVY_1E540262,Mission Hills/Santa Inez Aqueduct Extension,Mission Hills/Santa Inez Aqueduct Extension,Mission Hills/Santa Inez Aqueduct Extension,,,Open conveyance,Aqueduct,Mainline,Local/regional public,,Local,Unknown/unassigned,Unassigned,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,13.503688457910833,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,1314,,MAJOR_1314,FALSE,0,0,0.46222061115986013,0,,mission hills/santa inez aqueduct extension mission hills/santa inez aqueduct extension   unknown/unassigned unassigned      local aqueduct
CVY_1E72A5B4_S001,CVY_1E72A5B4,East Interception Canal,East Interception Canal,East Interception Canal,,,Open conveyance,Canal,Unknown,Unknown,,,Unknown/unassigned,Unassigned,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,0.2646243893603349,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,906,,MAJOR_0906,FALSE,0,0,14.592618618238474,0,,east interception canal east interception canal   unknown/unassigned unassigned       canal
CVY_1E72A5B4_S002,CVY_1E72A5B4,East Interception Canal,East Interception Canal,East Interception Canal,,,Open conveyance,Canal,Unknown,Unknown,,,Unknown/unassigned,Unassigned,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,0.3038699000784577,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,909,,MAJOR_0909,FALSE,0,0,14.854821690775374,0,,east interception canal east interception canal   unknown/unassigned unassigned       canal
CVY_1E72A5B4_S003,CVY_1E72A5B4,East Interception Canal,East Interception Canal,East Interception Canal,,,Open conveyance,Canal,Unknown,Unknown,,,Unknown/unassigned,Unassigned,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,0.005848308318870369,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,912,,MAJOR_0912,FALSE,0,0,14.412931505256513,0,,east interception canal east interception canal   unknown/unassigned unassigned       canal
CVY_1E72A5B4_S004,CVY_1E72A5B4,East Interception Canal,East Interception Canal,East Interception Canal,,,Open conveyance,Canal,Unknown,Unknown,,,Unknown/unassigned,Unassigned,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,0.14724296309793575,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,915,,MAJOR_0915,FALSE,0,0,14.415280354067875,0,,east interception canal east interception canal   unknown/unassigned unassigned       canal
CVY_1EA553B0_S001,CVY_1EA553B0,Joint Board Canal,Joint Board Canal,Joint Board Canal,,,Open conveyance,Canal,Mainline,Unknown,,,Unknown/unassigned,Unassigned,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,1.8105382258162594,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,990,,MAJOR_0990,FALSE,0,0,8.696218364012934,0,,joint board canal joint board canal   unknown/unassigned unassigned       canal
CVY_1F516766_S001,CVY_1F516766,Cherokee Canal,Cherokee Canal,Cherokee Canal,,,Open conveyance,Canal,Unknown,Unknown,,,Unknown/unassigned,Unassigned,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,25.87069726013262,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,491,DELTA_0491,FALSE,0,0,7.848784752476086,0,,cherokee canal cherokee canal   unknown/unassigned unassigned       canal
CVY_1F516766_S002,CVY_1F516766,Cherokee Canal,Cherokee Canal,Cherokee Canal,,,Open conveyance,Canal,Unknown,Unknown,,,Unknown/unassigned,Unassigned,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,4.122285047590429,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,1003,,MAJOR_1003,FALSE,0,0,7.704968413147447,0,,cherokee canal cherokee canal   unknown/unassigned unassigned       canal
CVY_1F67F1CE_S001,CVY_1F67F1CE,Folsom South Canal Connection,Folsom South Canal Connection,Folsom South Canal Connection,,,Open conveyance,Canal,Unknown,Federal,EBMUD,,CVP,Central Valley Project,American River Division,Folsom Unit,Folsom South Canal,American River Division > Folsom Unit > Folsom South Canal,regional_major,reviewed_override,Mapped connection associated with the Folsom South Canal system.,unknown,18.57822371940834,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,1371,,MAJOR_1371,FALSE,0,0,6.733942673015013,0,,folsom south canal connection folsom south canal connection   cvp central valley project american river division folsom unit folsom south canal american river division > folsom unit > folsom south canal ebmud  canal
CVY_1FB79D3D_S001,CVY_1FB79D3D,Glenn-Colusa Irrigation District Lateral 62-2A,GCID Lateral 62-2a,Glenn-Colusa Irrigation District Lateral 62-2A,GCID Lateral 62-2a,Glenn-Colusa Irrigation District conveyance system,Distribution/local,Lateral,Distribution,Local/regional public,,Glenn Colusa Irrigation District,Local/regional public,Glenn-Colusa Irrigation District conveyance system,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,3.1420468656459737,DeltaMAPP,delta,high,A24,1096,404,DELTA_0404,FALSE,0,0,11.126326679922775,0,,glenn-colusa irrigation district lateral 62-2a gcid lateral 62-2a gcid lateral 62-2a glenn-colusa irrigation district conveyance system local/regional public glenn-colusa irrigation district conveyance system      glenn colusa irrigation district lateral
CVY_1FB79D3D_S002,CVY_1FB79D3D,Glenn-Colusa Irrigation District Lateral 62-2A,GCID Lateral 64-2a,Glenn-Colusa Irrigation District Lateral 62-2A,GCID Lateral 64-2a,Glenn-Colusa Irrigation District conveyance system,Distribution/local,Lateral,Distribution,Local/regional public,,Glenn Colusa Irrigation District,Local/regional public,Glenn-Colusa Irrigation District conveyance system,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,1.7060501566538386,DeltaMAPP,delta,high,A17,899,434,DELTA_0434,FALSE,0,0,12.040232286361816,0,,glenn-colusa irrigation district lateral 62-2a gcid lateral 64-2a gcid lateral 64-2a glenn-colusa irrigation district conveyance system local/regional public glenn-colusa irrigation district conveyance system      glenn colusa irrigation district lateral
CVY_1FB79D3D_S003,CVY_1FB79D3D,Glenn-Colusa Irrigation District Lateral 62-2A,GCID Lateral 62-2a,Glenn-Colusa Irrigation District Lateral 62-2A,GCID Lateral 62-2a,Glenn-Colusa Irrigation District conveyance system,Distribution/local,Lateral,Distribution,Local/regional public,,Glenn Colusa Irrigation District,Local/regional public,Glenn-Colusa Irrigation District conveyance system,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,1.5001778631372917,DeltaMAPP,delta,high,A12,911,453,DELTA_0453,FALSE,0,0,13.952839736333075,0,,glenn-colusa irrigation district lateral 62-2a gcid lateral 62-2a gcid lateral 62-2a glenn-colusa irrigation district conveyance system local/regional public glenn-colusa irrigation district conveyance system      glenn colusa irrigation district lateral
CVY_20C08296_S001,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,1.4474181002103617,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,8,DELTA_0008,FALSE,0,0,10.491391184323922,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S002,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.047470077509648885,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,12,DELTA_0012,FALSE,0,0,4.893099196274457,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S003,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,3.0828201505812274,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,16,DELTA_0016,FALSE,0,0,1.2267692766455394,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S004,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.056185371837339744,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,18,DELTA_0018,FALSE,0,0,2.2055981796035544,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S005,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,60.86756511395368,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,21,DELTA_0021,FALSE,0,0,10.09585008025775,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S006,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.17773097478782104,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,23,DELTA_0023,FALSE,0,0,6.733128682770563,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S007,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.2926707411311082,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,24,DELTA_0024,FALSE,0,0,1.0729464271770186,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S008,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,16.194900609243568,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,26,DELTA_0026,TRUE,0.5251757300737285,3.2428462683739707,0,1,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S009,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.182024126603247,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,36,DELTA_0036,FALSE,0,0,0.13211401058852112,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S010,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,15.907119427175317,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,37,DELTA_0037,FALSE,0,0,2.964370376471099,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S011,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,1.4473713583502092,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,39,DELTA_0039,FALSE,0,0,6.766960663524546,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S012,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,8.542265293609299,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,45,DELTA_0045,FALSE,0,0,5.374433183482384,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S013,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,142.20549958810847,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,48,DELTA_0048,TRUE,0.08756544698850216,0.061576695164484746,0,1,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S014,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.08550868424076231,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,53,DELTA_0053,FALSE,0,0,7.291744807630355,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S015,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,4.5664433507259385,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,54,DELTA_0054,FALSE,0,0,11.711861139566972,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S016,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,1.9310355407866755,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,63,DELTA_0063,FALSE,0,0,1.0731356010658395,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S017,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.5710473551101878,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,88,DELTA_0088,FALSE,0,0,5.278199059408223,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S018,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.22241865595224908,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,97,DELTA_0097,FALSE,0,0,2.7536488550917526,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S019,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,21.81035504850908,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,103,DELTA_0103,FALSE,0,0,1.0226528499485752,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S020,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.5153987834392642,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,104,DELTA_0104,FALSE,0,0,2.0609445828745008,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S021,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,1.199038814371444,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,107,DELTA_0107,FALSE,0,0,10.49164239676166,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S022,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,1.0732509638904744,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,111,DELTA_0111,FALSE,0,0,4.258206086265204,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S023,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,1.45444099759074,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,112,DELTA_0112,FALSE,0,0,6.735673132130943,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S024,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.2436026189795246,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,115,DELTA_0115,FALSE,0,0,11.18647731465537,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S025,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.053357259696418774,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,116,DELTA_0116,FALSE,0,0,4.227405066546418,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S026,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,2.725795570241689,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,124,DELTA_0124,FALSE,0,0,3.2527780350290323,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S027,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.05158459028466997,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,152,DELTA_0152,FALSE,0,0,3.267316828671326,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S028,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Closed conveyance,Pipeline,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,0.031617605940003776,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,153,DELTA_0153,FALSE,0,0,4.501284892071878,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project pipeline
CVY_20C08296_S029,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,6.254695685850112,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,175,DELTA_0175,FALSE,0,0,3.8543014829643107,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S030,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,3.0567862663113723,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,176,DELTA_0176,FALSE,0,0,11.428797792924566,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S031,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,6.808942208948368,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,193,DELTA_0193,FALSE,0,0,0.9304087252602131,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S032,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State Water Project,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,3.097392268298848,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,208,DELTA_0208,FALSE,0,0,2.2425950154426726,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state water project aqueduct
CVY_20C08296_S033,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,14.400119677642701,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,8,,MAJOR_0008,FALSE,0,0,1.3449820678171907,0,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state aqueduct
CVY_20C08296_S034,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,19.264036177484034,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,14,,MAJOR_0014,TRUE,0.02501210353142662,0.12983833346752627,0,1,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state aqueduct
CVY_20C08296_S035,CVY_20C08296,California Aqueduct,California Aqueduct,California Aqueduct,,,Open conveyance,Aqueduct,Mainline,California state,,State,SWP,State Water Project,California Aqueduct,,,California Aqueduct,statewide_major,reviewed_override,Principal State Water Project conveyance backbone.,unknown,26.25809009064473,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,27,,MAJOR_0027,TRUE,0.08065687126236984,0.3071696036685715,0,1,,california aqueduct california aqueduct   swp state water project california aqueduct   california aqueduct  state aqueduct
