Water Right/Claim ID,Status,Type,Primary owner,Source,County,Effective date,Face value,Use type,Special use area,HUC 12,Watershed,Action,,Field Office ,
C004457,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,YUBA RIVER;,Fleming Spring | 180800020202,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004458,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1.5,Stockwatering,;TEHAMA,Middle Deep Creek | 180800030506,Deep Creek-Secret Creek,,,Eagle Lake,
C004459,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Other,;COLUSA BASIN,Petes Creek | 180800030606,Horse Lake-Willow Creek,,,Eagle Lake,
C004460,Registered,Registration,BLM California State Office,UNST,Lassen;Santa Barbara,4/10/1997,1,Stockwatering,,Lower Secret Creek | 180800030509;Salsipuedes Creek | 180600100702,Deep Creek-Secret Creek;Salsipuedes Creek-Santa Ynez River,,,Eagle Lake,
C004461,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2,Stockwatering,;COLUSA BASIN,Hagata Canyon | 180800030604,Horse Lake-Willow Creek,,,Eagle Lake,
C004462,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,;AMERICAN RIVER,Petes Creek | 180800030606,Horse Lake-Willow Creek,,,Eagle Lake,
C004463,Registered,Registration,BLM California State Office,UNST,Lassen;Santa Clara,4/10/1997,1,Stockwatering,,Horse Lake | 180800030603;San Felipe Creek | 180500030104,Horse Lake-Willow Creek;Upper Coyote Creek,,,Eagle Lake,
C004464,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2.1,Stockwatering,,Bailey Creek | 180800020206,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004465,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1.5,Stockwatering,North Coast AB2121 Area;,Petes Creek | 180800030606,Horse Lake-Willow Creek,,,Eagle Lake,
C004466,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,,Ducasse Reservoir | 180800020205,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004468,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,;BEAR RIVER,Bailey Creek | 180800020206,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004469,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,SAN JOAQUIN DELTA;LEGAL DELTA;,Lower Willow Creek | 180800030607,Horse Lake-Willow Creek,,,Eagle Lake,
C004470,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1.5,Stockwatering,,Lower Secret Creek | 180800030509,Deep Creek-Secret Creek,,,Eagle Lake,
C004471,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,,Baxter Creek | 180800030801,Baxter Creek-Frontal Honey Lake,,,Eagle Lake,
C004472,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1.5,Stockwatering,,Lower Secret Creek | 180800030509,Deep Creek-Secret Creek,,,Eagle Lake,
C004473,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2.5,Stockwatering,,Lower Secret Creek | 180800030509,Deep Creek-Secret Creek,,,Eagle Lake,
C004474,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,3.5,Stockwatering,,Lower Willow Creek | 180800030607,Horse Lake-Willow Creek,,,Eagle Lake,
C004475,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2,Stockwatering,,Lower Willow Creek | 180800030607,Horse Lake-Willow Creek,,,Eagle Lake,
C004476,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,,Lassen Creek-Susan River | 180800030703,Lower Susan River-Frontal Honey Lake,,,Eagle Lake,
C004477,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2,Stockwatering,,Lower Willow Creek | 180800030607,Horse Lake-Willow Creek,,,Eagle Lake,
C004478,Registered,Registration,BLM California State Office,RICES CANYON,Lassen,4/10/1997,6,Stockwatering,;North Coast AB2121 Area,Lake Leavitt-Susan River | 180800030704,Lower Susan River-Frontal Honey Lake,,,Eagle Lake,
C004479,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2.5,Stockwatering,;WHITMORE,Mud Flat | 180800030508,Deep Creek-Secret Creek,,,Eagle Lake/Central Coast,
C004480,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,PIT RIVER;,Baxter Creek | 180800030801,Baxter Creek-Frontal Honey Lake,,,Eagle Lake,
C004481,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,;AHWAHNEE,Upper Deep Creek | 180800030505,Deep Creek-Secret Creek,,,Eagle Lake,
C004482,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,,Lower Cold Spring Creek-Madeline Plains | 180800020109,Cold Spring Creek-Madeline Plains,,,Eagle Lake,
C004483,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,;STONY CREEK,Susan River Delta-Frontal Honey Lake | 180800030705,Lower Susan River-Frontal Honey Lake,,,Eagle Lake,
C004484,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2,Stockwatering,,Grasshopper Valley | 180800020304,Dry Valley-Grasshopper Valley,,,Eagle Lake,
C004522,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2.5,Stockwatering,,Bailey Creek | 180800020206,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004523,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2.5,Stockwatering,Klamath;,Bailey Creek | 180800020206,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004524,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,0.5,Stockwatering,;Klamath,Dill Butte | 180800020203,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004525,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,,Fleming Spring | 180800020202,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004526,Registered,Registration,BLM California State Office,CHASE CANYON,Lassen,4/10/1997,2,Stockwatering,,Bailey Creek | 180800020206,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004528,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1.5,Stockwatering,WHITMORE;,Bailey Creek | 180800020206,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004529,Registered,Registration,BLM California State Office,UNST,Alameda;Lassen,4/10/1997,1.5,Stockwatering,,Upper Alameda Creek | 180500040602;Bailey Creek | 180800020206,Alameda Creek;Van Loan Creek-Madeline Plains,,,Eagle Lake,
C004531,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,,Petes Creek | 180800030606,Horse Lake-Willow Creek,,,Eagle Lake,
C004532,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,,Upper Willow Creek | 180800030605,Horse Lake-Willow Creek,,,Eagle Lake,
C004533,Registered,Registration,BLM California State Office,SNOWSTORM CREEK,Lassen,4/10/1997,1,Stockwatering,;CACHE CREEK,Upper Snowstorm Creek | 180800030503,Deep Creek-Secret Creek,,,Eagle Lake,
C004534,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,North Coast AB2121 Area;,Horse Lake | 180800030603,Horse Lake-Willow Creek,,,Eagle Lake,
C004535,Registered,Registration,BLM California State Office,UNST,Lassen;Santa Cruz,4/10/1997,4.5,Stockwatering,,Petes Creek | 180800030606;San Vicente Creek-Frontal Pacific Ocean | 180500060304,Horse Lake-Willow Creek;Waddell Creek-Frontal Ano Nuevo Bay,,,Eagle Lake,
C004536,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2,No Use Identified,,Horse Lake | 180800030603,Horse Lake-Willow Creek,,,Eagle Lake,
C004377,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,1,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Middle Beaver Creek | 180200030202,Beaver Creek,,,Eagle Lake,
C004378,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,1,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Lower Beaver Creek | 180200030203,Beaver Creek,,,Eagle Lake,
C004382,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0.4,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Lower Beaver Creek | 180200030203,Beaver Creek,,,Eagle Lake,
C004383,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,1,Stockwatering,PIT RIVER;North Coast AB2121 Area,Middle Beaver Creek | 180200030202,Beaver Creek,,,Eagle Lake,
C004384,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,1.7,Stockwatering,PIT RIVER;,Dry Creek | 180800020103,Cold Spring Creek-Madeline Plains,,,Eagle Lake,
C004385,Registered,Registration,BLM California State Office,UNST,Lassen;San Bernardino,12/23/1997,0.6,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Upper Cedar Creek | 180200020201;Desert Knolls Wash-Mojave River | 180902080703,Cedar Creek;Bell Mountain Wash-Mojave River,,,Eagle Lake,
C004386,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0.2,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Moon Lake | 180200020202,Cedar Creek,,,Eagle Lake,
C004356,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,8.4,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Town of Surprise Station-North Fork Pit River | 180200020604,North Fork Pit River,,,Eagle Lake,
C004357,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,4.2,Stockwatering,PIT RIVER,Town of Surprise Station-North Fork Pit River | 180200020604,North Fork Pit River,,,Eagle Lake,
C004358,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,2.1,Stockwatering,PIT RIVER;NORTH VALLEY FLOOR,Town of Surprise Station-North Fork Pit River | 180200020604,North Fork Pit River,,,Eagle Lake,
C004359,Registered,Registration,BLM California State Office,UNST,Lassen;Modoc,12/23/1997,3,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Fleming Spring | 180800020202;Town of Surprise Station-North Fork Pit River | 180200020604,Van Loan Creek-Madeline Plains;North Fork Pit River,,,Eagle Lake/Applegate,
C004360,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,1.4,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Town of Surprise Station-North Fork Pit River | 180200020604,North Fork Pit River,,,Applegate,
C004361,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,5.3,Stockwatering,MIDDLE SIERRA;PIT RIVER,Warm Creek-South Fork Pit River | 180200020302,Dry Creek-South Fork Pit River,,,Applegate,
C004362,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,8.4,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Donovan Reservoir | 180200020802,Canyon Creek,,,Applegate,
C004363,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,0.8,Stockwatering,PIT RIVER,Donovan Reservoir | 180200020802,Canyon Creek,,,Applegate,
C004364,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,1,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Romero Creek-South Fork Pit River | 180200020402,Pine Creek-South Fork Pit River,,,Applegate,
C004365,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,1,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Romero Creek-South Fork Pit River | 180200020402,Pine Creek-South Fork Pit River,,,Applegate,
C004366,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,1.2,Stockwatering,PIT RIVER,Donovan Reservoir | 180200020802,Canyon Creek,,,Applegate,
C004367,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,1,Stockwatering,AMERICAN RIVER;PIT RIVER,Romero Creek-South Fork Pit River | 180200020402,Pine Creek-South Fork Pit River,,,Applegate,
C004368,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,0.3,Stockwatering,PIT RIVER;MIDDLE SIERRA,Donovan Reservoir | 180200020802,Canyon Creek,,,Applegate,
C004369,Registered,Registration,BLM California State Office,UNST,Modoc,12/23/1997,2.1,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Dorris Reservoir-South Fork Pit River | 180200020406,Pine Creek-South Fork Pit River,,,Applegate,
C004346,Registered,Registration,BLM California State Office,UNST,Siskiyou,12/23/1997,1,Stockwatering,North Coast AB2121 Area;Klamath,Davis Canyon-Butte Valley | 180102050303,Butte Valley,,,Redding,
C004347,Registered,Registration,BLM California State Office,UNST,Siskiyou,12/23/1997,1.9,Stockwatering,WHITMORE;Klamath,Lake Miller | 180102041404,Lower Klamath Lake,,,Redding,
C004348,Registered,Registration,BLM California State Office,UNST,Siskiyou,12/23/1997,1.4,Stockwatering,MIDDLE SIERRA;Klamath,Russell Lake | 180102050204,Red Rock Valley-Antelope Creek,,,Redding,
C004349,Registered,Registration,BLM California State Office,UNST,Siskiyou,12/23/1997,1.5,Stockwatering,Klamath;MIDDLE SIERRA,Russell Lake | 180102050204,Red Rock Valley-Antelope Creek,,,Redding,
C004350,Registered,Registration,BLM California State Office,UNST,Siskiyou,12/23/1997,0.5,Stockwatering,SAN JOAQUIN DELTA;LEGAL DELTA;Klamath,Davis Canyon-Butte Valley | 180102050303,Butte Valley,,,Redding,
C004351,Registered,Registration,BLM California State Office,UNST,Siskiyou,12/23/1997,2,Stockwatering,Klamath;North Coast AB2121 Area,Red Rock Valley | 180102050203,Red Rock Valley-Antelope Creek,,,Redding,
C004352,Registered,Registration,BLM California State Office,UNST,Siskiyou,12/23/1997,0.6,Stockwatering,WHITMORE;Klamath,Willow Creek | 180102041303,Badger Basin-Willow Creek,,,Redding,
C004353,Registered,Registration,BLM California State Office,UNST,Siskiyou,12/23/1997,1.5,Stockwatering,KLAMATH WATERSHED;Klamath,Willow Creek | 180102041303,Badger Basin-Willow Creek,,,Redding,
C004354,Registered,Registration,BLM California State Office,MODOC GULCH,Siskiyou,12/23/1997,2.8,Stockwatering,Klamath;KLAMATH WATERSHED,Modac Gulch-Butte Valley | 180102050301,Butte Valley,,,Redding,
C004355,Registered,Registration,BLM California State Office,UNST,Siskiyou,12/23/1997,1.4,Stockwatering,Klamath;PIT RIVER,Lake Miller | 180102041404,Lower Klamath Lake,,,Redding,
C004370,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,1.8,Stockwatering,AMERICAN RIVER;PIT RIVER,Lower Hat Creek Valley-Hat Creek | 180200030710,Hat Creek,,,Redding,
C004371,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,1.3,Stockwatering,PIT RIVER;SAN JOAQUIN DELTA;LEGAL DELTA,Chalk Reservoir-Pit River | 180200030805,Town of Pittville-Pit River,,,Redding,
C004372,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,8.4,Stockwatering,PIT RIVER;SHASTA BALLY,Tunnel Reservoir-Pit River | 180200031008,Kosk Creek-Pit River,,,Redding,
C004373,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,1.7,Stockwatering,PIT RIVER,Chalk Reservoir-Pit River | 180200030805,Town of Pittville-Pit River,,,Redding,
C004374,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,1.3,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Chalk Reservoir-Pit River | 180200030805,Town of Pittville-Pit River,,,Redding,
C004375,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,1.5,Stockwatering,PIT RIVER,Bald Mountain Reservoir-Pit River | 180200030804,Town of Pittville-Pit River,,,Redding,
C004376,Registered,Registration,BLM California State Office,PROCTOR CREEK,Shasta,12/23/1997,0.7,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Bald Mountain Reservoir-Pit River | 180200030804,Town of Pittville-Pit River,,,Redding,
C004379,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,2.1,Stockwatering,PIT RIVER;BEAR RIVER,Lower Beaver Creek | 180200030203,Beaver Creek,,,Redding,
C004380,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,0.1,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Lower Beaver Creek | 180200030203,Beaver Creek,,,Redding,
C004381,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,0.4,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Lower Beaver Creek | 180200030203,Beaver Creek,,,Redding,
C004387,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.1,Stockwatering,REDDING;DELTA WATERSHEDS;,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004388,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.4,Stockwatering,PIT RIVER;REDDING,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004390,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.2,Stockwatering,Klamath;REDDING,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004391,Registered,Registration,BLM California State Office,UNST,Santa Clara;Tehama,12/19/1997,0.5,Stockwatering,REDDING;DELTA WATERSHEDS;,San Felipe Creek | 180500030104;Spring Branch-Battle Creek | 180201530302,Upper Coyote Creek;Battle Creek,,,Redding/Central Coast,
C004392,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.1,Stockwatering,VALLEY PUTAH-CACHE;REDDING,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004393,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.3,Stockwatering,REDDING;Klamath,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004394,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.4,Stockwatering,REDDING;NORTH VALLEY FLOOR,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004395,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.5,Stockwatering,REDDING;DELTA WATERSHEDS;,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004396,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.1,Stockwatering,PIT RIVER;REDDING,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004397,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.1,Stockwatering,DELTA WATERSHEDS;;REDDING,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004398,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.1,Stockwatering,REDDING;DELTA WATERSHEDS;,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004399,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,1.5,Stockwatering,SAN JOAQUIN VALLEY FLOOR;REDDING,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004400,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.1,Stockwatering,REDDING;DELTA WATERSHEDS;,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004401,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.4,Stockwatering,REDDING;FEATHER RIVER,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004402,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.4,Stockwatering,DELTA WATERSHEDS;;REDDING,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004403,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.4,Stockwatering,REDDING;TEHAMA,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004404,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.3,Stockwatering,SACRAMENTO DELTA;LEGAL DELTA;REDDING,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004405,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.3,Stockwatering,REDDING;DELTA WATERSHEDS;,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004406,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.4,Stockwatering,REDDING;AMERICAN RIVER,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004407,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.5,Stockwatering,REDDING;TEHAMA,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004408,Registered,Registration,BLM California State Office,UNST,Marin;Tehama,12/19/1997,0.5,Stockwatering,North Coast AB2121 Area;REDDING,Estero De San Antonio | 180500050303;Spring Branch-Battle Creek | 180201530302,Tomales Bay-Bodega Bay;Battle Creek,,,Redding/Ukiah,
C004409,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.2,Stockwatering,REDDING;North Coast AB2121 Area,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004530,Registered,Registration,BLM California State Office,UNST,Tehama,12/19/1997,0.4,Stockwatering,AHWAHNEE;REDDING,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
C004428,Registered,Registration,BLM California State Office,UNST,Lake,10/31/1997,1.4,Stockwatering,DELTA WATERSHEDS;;CACHE CREEK,Rocky Creek-Cache Creek | 180201160604,Upper Cache Creek,,,Ukiah,
C004441,Registered,Registration,BLM California State Office,UNST,Lake,10/31/1997,4.5,Stockwatering,DELTA WATERSHEDS;;CACHE CREEK,Rocky Creek-Cache Creek | 180201160604,Upper Cache Creek,,,Ukiah,
C004442,Registered,Registration,BLM California State Office,UNST,Lake,10/31/1997,0.7,Stockwatering,CACHE CREEK;DELTA WATERSHEDS;,Rocky Creek-Cache Creek | 180201160604,Upper Cache Creek,,,Ukiah,
C004205,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,2,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Clarks Valley-Pit River | 180200030801,Town of Pittville-Pit River,,,Eagle Lake,
C004206,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,4,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Clarks Valley-Pit River | 180200030801,Town of Pittville-Pit River,,,Eagle Lake,
C004208,Registered,Registration,BLM California State Office,SPRING GULCH,Lassen,12/23/1997,1,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Muck Valley-Pit River | 180200021903,Widow Valley Creek-Pit River,,,Eagle Lake,
C004467,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,,Bill Reservoir Number 1 | 180800030602,Horse Lake-Willow Creek,,,Eagle Lake,
C005775,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,9,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Bailey Creek | 180800020206;Lower Cedar Creek-West Valley Reservoir | 180200020203,Van Loan Creek-Madeline Plains;Cedar Creek,,,Eagle Lake,
C005776,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,4,Stockwatering; Other,PIT RIVER;CORTINA,Lower Cedar Creek-West Valley Reservoir | 180200020203,Cedar Creek,,,Eagle Lake,
C005777,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,1.2,Stockwatering,PIT RIVER,Lower Cedar Creek-West Valley Reservoir | 180200020203,Cedar Creek,,,Eagle Lake,
C005778,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0.5,Stockwatering,,Mitchell Field | 180800020208,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C005779,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,2,Stockwatering,PIT RIVER;DELTA WATERSHEDS;,Dry Creek | 180200020301,Dry Creek-South Fork Pit River,,,Eagle Lake,
C005780,Registered,Registration,BLM California State Office,UNST,Lassen,12/23/1997,0.3,Stockwatering,PIT RIVER,Moon Lake | 180200020202,Cedar Creek,,,Eagle Lake,
C005714,Registered,Registration,BLM California State Office,SPENCER CREEK,Lassen,4/10/1997,1,Stockwatering,;North Coast AB2121 Area,Lower Skedaddle Creek | 180800031403,Skedaddle Creek,,,Eagle Lake,
C005828,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,9,Stockwatering,DELTA WATERSHEDS;;PIT RIVER,Lower Hat Creek Valley-Hat Creek | 180200030710,Hat Creek,,,Redding,
C005829,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,7,Stockwatering,PIT RIVER,Bald Mountain Reservoir-Pit River | 180200030804,Town of Pittville-Pit River,,,Redding,
C005830,Registered,Registration,BLM California State Office,UNST,Shasta,12/23/1997,4,Stockwatering,PIT RIVER,Lower Beaver Creek | 180200030203,Beaver Creek,,,Redding,
C004164,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,0.5,Stockwatering,North Coast AB2121 Area;,Upper Cold Spring Creek | 180800020108,Cold Spring Creek-Madeline Plains,,,Eagle Lake,
C004169,Registered,Registration,BLM California State Office,WHISKEY CANYON,Lassen,4/10/1997,2,Stockwatering; Other,,Bailey Creek | 180800020206,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C005699,Registered,Registration,BLM California State Office,CLEGHORN CREEK,Lassen,4/10/1997,2,Stockwatering,,Cleghorn Creek-Frontal Eagle Lake | 180800030303,Lower Pine Creek-Eagle Lake,,,Eagle Lake,
C005705,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,3.5,Stockwatering,,Lake Leavitt-Susan River | 180800030704,Lower Susan River-Frontal Honey Lake,,,Eagle Lake,
C005707,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering,;WHITMORE,Petes Creek | 180800030606,Horse Lake-Willow Creek,,,Eagle Lake,
C005708,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2.5,Other; Stockwatering,,Fleming Spring | 180800020202,Van Loan Creek-Madeline Plains,,,Eagle Lake,
C005709,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2,Stockwatering,,Upper Willow Creek | 180800030605,Horse Lake-Willow Creek,,,Eagle Lake,
C005710,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,1,Stockwatering; Other,AMERICAN RIVER;,Lower Dry Lake-Frontal Eagle Lake | 180800030304,Lower Pine Creek-Eagle Lake,,,Eagle Lake,
C005711,Registered,Registration,BLM California State Office,UNST,Lassen;Napa,4/10/1997,2,Stockwatering,PUTAH CREEK;,Upper Pope Creek | 180201620201;Lake Leavitt-Susan River | 180800030704,Pope Creek;Lower Susan River-Frontal Honey Lake,,,Eagle Lake/Ukiah,
C005712,Registered,Registration,BLM California State Office,COTTONWOOD CANYON,Lassen,4/10/1997,2.8,Stockwatering,PIT RIVER;,Horse Lake | 180800030603,Horse Lake-Willow Creek,,,Eagle Lake,
C005713,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2,Stockwatering,,Lake Leavitt-Susan River | 180800030704,Lower Susan River-Frontal Honey Lake,,,Eagle Lake,
C005715,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,8.5,Stockwatering,;REDDING,Lower Dry Lake-Frontal Eagle Lake | 180800030304,Lower Pine Creek-Eagle Lake,,,Eagle Lake,
C005716,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2.5,Other; Stockwatering,PUTAH CREEK;,Petes Creek | 180800030606,Horse Lake-Willow Creek,,,Eagle Lake,
C005717,Registered,Registration,BLM California State Office,UNST,Lassen,4/10/1997,2,Stockwatering,PIT RIVER;,Upper Willow Creek | 180800030605,Horse Lake-Willow Creek,,,Eagle Lake,
