external_display_num,display_badge,external_layer_id,current_group_order,current_group,current_theme,current_panel_subgroup_reference,display_name,new_group,new_theme,agency,program,service_type,default_load_mode,min_zoom_current_view,min_zoom_live,large_layer_warning,proposed_group_order,proposed_group,proposed_theme_order,proposed_theme,action_keep_move_delete,paper_notes
101,#101,EXT104,60,BLM / land status / monitoring,Cadastral / PLSS,Cadastral / PLSS,BLM-CA PLSS Aliquots / Sections,Land status,PLSS,BLM California,CADNSDI / Cadastral,map,visual,,10,Very dense California PLSS aliquot layer. Load only at close zoom and use Refresh current view after panning/zooming.,,,,,,
102,#102,EXT114,70,Mining / energy / infrastructure,AML / mine features,Mines / AML,CA mapped abandoned mine features,Energy / Minerals,Mines / AML,California DOC / DMR,Abandoned Mine Lands,feature,current_view,7,,Mapped mine feature layer. Zoom to an area of interest and use current-view loading; do not interpret locations as exact.,,,,,,
103,#103,EXT009,70,Mining / energy / infrastructure,Water infrastructure / regulation,Water infrastructure / regulation,DWR FERC Project Boundaries,toggle this layer off - it's only a very narrow set of FERC bnds,toggle off,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
104,#104,EXT119,70,Mining / energy / infrastructure,Oil / gas / geothermal,Oil / gas / geothermal,CalGEM notices | submitted NOI,Energy / Minerals,Permitting,California DOC / CalGEM,WellSTAR notices / permits,map,visual,,,"Server-rendered CalGEM notice/permit layer. If blank, check the official CalGEM map or zoom to a known oil/gas/geothermal area.",,,,,,
105,#105,EXT120,70,Mining / energy / infrastructure,Oil / gas / geothermal,Oil / gas / geothermal,CalGEM notices | approved NOI / permit,Energy / Minerals,Permitting,California DOC / CalGEM,WellSTAR notices / permits,map,visual,,,"Server-rendered CalGEM notice/permit layer. If blank, check the official CalGEM map or zoom to a known oil/gas/geothermal area.",,,,,,
106,#106,EXT121,70,Mining / energy / infrastructure,Oil / gas / geothermal,Oil / gas / geothermal,CalGEM well stimulation permits,Energy / Minerals,Permitting,California DOC / CalGEM,WellSTAR notices / permits,map,visual,,,"Server-rendered CalGEM notice/permit layer. If blank, check the official CalGEM map or zoom to a known oil/gas/geothermal area.",,,,,,
107,#107,EXT130,70,Mining / energy / infrastructure,Electric substations,Energy infrastructure,Electric substations,Infrastructure,utility,California Energy Commission / HIFLD,Energy infrastructure,feature,current_view,6,,Point layer; load at project/local scale for best performance.,,,,,,
108,#108,EXT129,70,Mining / energy / infrastructure,Electric transmission,Energy infrastructure,CEC electric transmission lines,Infrastructure,utility,California Energy Commission,Energy infrastructure,feature,current_view,6,,Statewide line layer; load at project/local scale for best performance.,,,,,,
109,#109,EXT138,70,Mining / energy / infrastructure,Renewable energy projects,Renewable energy / ROW,BLM renewable energy ROW | preliminary,Energy / Minerals,Rnwble ROW,BLM California,Renewable energy ROW,feature,current_view,6,,Renewable-energy polygon layer; load at project/local scale for best performance.,,,,,,
110,#110,EXT137,70,Mining / energy / infrastructure,Renewable energy projects,Renewable energy / ROW,BLM renewable energy ROW | verified,Energy / Minerals,Rnwble ROW,BLM California,Renewable energy ROW,feature,current_view,6,,Renewable-energy polygon layer; load at project/local scale for best performance.,,,,,,
111,#111,EXT115,80,Transportation / access,Highways / NHS,Roads / highways,National Highway System,Infrastructure,transportation,Caltrans,Transportation / NHS,feature,current_view,6,,Statewide line layer. Current-view loading is recommended for performance.,,,,,,
112,#112,EXT118,80,Transportation / access,Railroads,Railroads,Railroads,Infrastructure,transportation,FRA / BTS / NTAD,Rail transportation,feature,current_view,6,,National line layer. Zoom to California or a project area and use current-view loading for performance.,,,,,,
113,#113,EXT116,85,BLM / recreation / planning,Recreation / access,Recreation / access,BLM CA recreation sites,Recreation,sites & areas,BLM California,Recreation,feature,current_view,7,,Statewide BLM recreation service. Zoom to an area of interest and use current-view loading for best performance.,,,,,,
114,#114,EXT117,85,BLM / recreation / planning,Recreation / access,Recreation / access,BLM CA recreation areas,Recreation,sites & areas,BLM California,Recreation,feature,current_view,6,,Statewide BLM recreation service. Zoom to an area of interest and use current-view loading for best performance.,,,,,,
115,#115,EXT131,85,BLM / recreation / planning,DRECP / desert planning,DRECP / desert planning,DRECP ACEC polygons,Desert Planning,DRECP,BLM California,DRECP ROD,feature,current_view,6,,DRECP polygon layer; load at project/local scale for best performance.,,,,,,
116,#116,EXT133,85,BLM / recreation / planning,DRECP / desert planning,DRECP / desert planning,DRECP Development Focus Areas,Desert Planning,DRECP,BLM California,DRECP ROD,feature,current_view,6,,DRECP polygon layer; load at project/local scale for best performance.,,,,,,
117,#117,EXT134,85,BLM / recreation / planning,DRECP / desert planning,DRECP / desert planning,DRECP general public lands,Desert Planning,DRECP,BLM California,DRECP ROD,feature,current_view,6,,DRECP polygon layer; load at project/local scale for best performance.,,,,,,
118,#118,EXT132,85,BLM / recreation / planning,DRECP / desert planning,DRECP / desert planning,DRECP National Conservation Lands,Desert Planning,DRECP,BLM California,DRECP ROD,feature,current_view,6,,DRECP polygon layer; load at project/local scale for best performance.,,,,,,
119,#119,EXT135,85,BLM / recreation / planning,DRECP / desert planning,DRECP / desert planning,DRECP recreation management areas,Desert Planning,DRECP,BLM California,DRECP ROD,feature,current_view,6,,DRECP polygon layer; load at project/local scale for best performance.,,,,,,
120,#120,EXT136,85,BLM / recreation / planning,DRECP / desert planning,DRECP / desert planning,DRECP wildlife allocation polygons,Desert Planning,DRECP,BLM California,DRECP ROD,feature,current_view,6,,DRECP polygon layer; load at project/local scale for best performance.,,,,,,
121,#121,EXT005,90,Administrative / boundaries / planning,Hydrologic boundaries,Hydrologic boundaries,DWR Hydrologic Regions,Hydrologic Basins/Admin Bndries,one water,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
122,#122,EXT006,90,Administrative / boundaries / planning,Planning / water management,Planning / water management,DWR Water Plan Planning Areas,Hydrologic Basins/Admin Bndries,one water,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
123,#123,EXT007,90,Administrative / boundaries / planning,Planning / water management,Planning / water management,DWR IRWM Regions,Hydrologic Basins/Admin Bndries,one water,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
124,#124,EXT018,90,Administrative / boundaries / planning,Planning / water management,Planning / water management,DWR Proposition 1 Funding Areas,Districts/Service/Planning ,planning,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
125,#125,EXT008,90,Administrative / boundaries / planning,Water agencies / districts,Water agencies / districts,DWR Water Districts,Districts/Service/Planning ,districts/service,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
126,#126,EXT048,90,Administrative / boundaries / planning,Water agencies / districts,Water agencies / districts,DWR Water Districts — inspectable features,Districts/Service/Planning ,districts/service,DWR / CNRA,DWR GIS Atlas,feature,current_view,9,9,Potentially large statewide FeatureServer. Zoom in first and use current-view loading for better performance.,,,,,,
127,#127,EXT053,90,Administrative / boundaries / planning,Administrative / RWQCB,Administrative / RWQCB,RWQCB Boundaries — Water Boards,Hydrologic Basins/Admin Bndries,one water,SWRCB / Water Boards,GAMA / Reference Boundaries,map,visual,,,,,,,,,
128,#128,EXT102,90,Administrative / boundaries / planning,Tribal lands / BIA,Tribal lands / BIA,BIA Tribal Lands / AIAN-LAR,Land status,classification,BIA / DOI,American Indian and Alaska Native Land Area Representation (AIAN-LAR),feature,current_view,5,,"Western-states polygon layer. Use current-view loading after zooming to California or a project area, and refresh current view after panning.",,,,,,
