document_id,wilderness_id,component_id,document_title,document_type,agency,publication_date,geographic_scope,document_url,landing_page_url,authority_level,wilderness_wide_or_component_specific,last_verified,notes
doc-0a3153d65232,fw-869,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Dead Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-d51c064231ca,fw-873,,Death Valley Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Death Valley Wilderness,https://wilderness.net/visit-wilderness/?ID=151,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-661eb2f29896,fw-873,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Death Valley Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-35d7cebad27c,fw-911,,Desolation Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Desolation Wilderness,https://wilderness.net/visit-wilderness/?ID=155,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-e08146341272,fw-911,,Public Law 91-82 — Desolation Wilderness Act,public law,U.S. Congress,1969-10-10,Desolation Wilderness,https://www.govinfo.gov/content/pkg/PLAW-91publ82/html/PLAW-91publ82.htm,https://www.govinfo.gov/content/pkg/PLAW-91publ82/html/PLAW-91publ82.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-fa0570e052b3,fw-928,,Dick Smith Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Dick Smith Wilderness,https://wilderness.net/visit-wilderness/?ID=158,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-486b6e6244b9,fw-928,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,Dick Smith Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-a411e36de764,fw-931,,Dinkey Lakes Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Dinkey Lakes Wilderness,https://wilderness.net/visit-wilderness/?ID=159,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-ffa7342af622,fw-931,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,Dinkey Lakes Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-8506ecf923ea,fw-943,,Domeland Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Domeland Wilderness,https://wilderness.net/visit-wilderness/?ID=162,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-b437fca12830,fw-943,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Domeland Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-e7db34989973,fw-943,,Domeland Wilderness,official wilderness webpage,Bureau of Land Management,,Domeland Wilderness,https://www.blm.gov/visit/domeland-wilderness,https://www.blm.gov/visit/domeland-wilderness,3 - official managing-agency page,wilderness-wide or agency-component as labeled,2026-08-04,Use component-specific language where the page describes only the agency's portion.
doc-b9ed20cd5b73,fw-943,,Domeland Wilderness — Sequoia National Forest,official wilderness webpage,U.S. Forest Service,,Domeland Wilderness,https://www.fs.usda.gov/r05/sequoia/recreation/domeland-wilderness,https://www.fs.usda.gov/r05/sequoia/recreation/domeland-wilderness,3 - official managing-agency page,agency component,2026-08-04,Official page for another managing agency's component.
doc-5a6f371bc15c,fw-984,,East Fork High Rock Canyon Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,East Fork High Rock Canyon Wilderness,https://wilderness.net/visit-wilderness/?ID=172,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-8d3a5d0b69d6,fw-984,,Public Law 106-554 — Black Rock Desert–High Rock Canyon Emigrant Trails NCA Act of 2000,public law,U.S. Congress,2000-12-21,East Fork High Rock Canyon Wilderness,https://www.govinfo.gov/content/pkg/PLAW-106publ554/html/PLAW-106publ554.htm,https://www.govinfo.gov/content/pkg/PLAW-106publ554/html/PLAW-106publ554.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-f30c86b5210b,fw-984,,East Fork High Rock Canyon Wilderness,official wilderness webpage,Bureau of Land Management,,East Fork High Rock Canyon Wilderness,https://www.blm.gov/visit/east-fork-high-rock-canyon-wilderness,https://www.blm.gov/visit/east-fork-high-rock-canyon-wilderness,3 - official managing-agency page,wilderness-wide or agency-component as labeled,2026-08-04,Use component-specific language where the page describes only the agency's portion.
doc-097a6461a207,fw-1018,,El Paso Mountains Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,El Paso Mountains Wilderness,https://wilderness.net/visit-wilderness/?ID=174,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-5f7bda80a8f0,fw-1018,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,El Paso Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-ae110b43a261,fw-1031,,Elkhorn Ridge Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Elkhorn Ridge Wilderness,https://wilderness.net/visit-wilderness/?ID=757,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-b210e5e5bcea,fw-1031,,Public Law 109-362 — Northern California Coastal Wild Heritage Wilderness Act,public law,U.S. Congress,2006-10-17,Elkhorn Ridge Wilderness,https://www.govinfo.gov/content/pkg/PLAW-109publ362/html/PLAW-109publ362.htm,https://www.govinfo.gov/content/pkg/PLAW-109publ362/html/PLAW-109publ362.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-2ea35c9dc413,fw-1040,,Emigrant Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Emigrant Wilderness,https://wilderness.net/visit-wilderness/?ID=177,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-3e6e10768c12,fw-1040,,Public Law 93-632 — Wilderness designations act,public law,U.S. Congress,1975-01-03,Emigrant Wilderness,https://www.govinfo.gov/content/pkg/PLAW-93publ632/html/PLAW-93publ632.htm,https://www.govinfo.gov/content/pkg/PLAW-93publ632/html/PLAW-93publ632.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-53609e536bd7,fw-1040,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,Emigrant Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-a11f1defd026,fw-1099,,Fish Creek Mountains Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Fish Creek Mountains Wilderness,https://wilderness.net/visit-wilderness/?ID=183,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-00388bb9eec8,fw-1099,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Fish Creek Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-e86e03d1c5a4,fw-1283,,Funeral Mountains Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Funeral Mountains Wilderness,https://wilderness.net/visit-wilderness/?ID=195,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-304011955ee9,fw-1283,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Funeral Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-25c6a114c632,fw-1283,,Funeral Mountains Wilderness,official wilderness webpage,Bureau of Land Management,,Funeral Mountains Wilderness,https://www.blm.gov/visit/funeral-mountains-wilderness,https://www.blm.gov/visit/funeral-mountains-wilderness,3 - official managing-agency page,wilderness-wide or agency-component as labeled,2026-08-04,Use component-specific language where the page describes only the agency's portion.
doc-9e1f3a3bb962,fw-1291,,Garcia Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Garcia Wilderness,https://wilderness.net/visit-wilderness/?ID=197,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-5992b98fb4a1,fw-1291,,Public Law 102-301 — Los Padres Condor Range and River Protection Act,public law,U.S. Congress,1992-06-19,Garcia Wilderness,https://www.govinfo.gov/content/pkg/PLAW-102publ301/html/PLAW-102publ301.htm,https://www.govinfo.gov/content/pkg/PLAW-102publ301/html/PLAW-102publ301.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-0a3a9d4a8f2a,fw-1350,,Golden Trout Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Golden Trout Wilderness,https://wilderness.net/visit-wilderness/?ID=210,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-02d95f08f985,fw-1350,,Public Law 95-237 — Endangered American Wilderness Act of 1978,public law,U.S. Congress,1978-02-24,Golden Trout Wilderness,https://www.govinfo.gov/content/pkg/PLAW-95publ237/html/PLAW-95publ237.htm,https://www.govinfo.gov/content/pkg/PLAW-95publ237/html/PLAW-95publ237.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-ce39ade7121b,fw-1351,,Golden Valley Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Golden Valley Wilderness,https://wilderness.net/visit-wilderness/?ID=211,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-f9aa2dd3a266,fw-1351,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Golden Valley Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-76107dff0348,fw-1385,,Granite Chief Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Granite Chief Wilderness,https://wilderness.net/visit-wilderness/?ID=214,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-604831b57719,fw-1385,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,Granite Chief Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-1883ac9fc8ea,fw-1388,,Granite Mountain Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Granite Mountain Wilderness,https://wilderness.net/visit-wilderness/?ID=726,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-510f47e49199,fw-1388,,Public Law 111-11 — Omnibus Public Land Management Act of 2009,public law,U.S. Congress,2009-03-30,Granite Mountain Wilderness,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-bd26700fd236,fw-1395,,Grass Valley Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Grass Valley Wilderness,https://wilderness.net/visit-wilderness/?ID=217,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-3a6f9c706926,fw-1395,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Grass Valley Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-207efe0a4f3e,fw-1395,,Grass Valley Wilderness,official wilderness webpage,Bureau of Land Management,,Grass Valley Wilderness,https://www.blm.gov/visit/grass-valley-wilderness,https://www.blm.gov/visit/grass-valley-wilderness,3 - official managing-agency page,wilderness-wide or agency-component as labeled,2026-08-04,Use component-specific language where the page describes only the agency's portion.
doc-b72768ad272a,fw-4546,,Great Falls Basin Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Great Falls Basin Wilderness,https://wilderness.net/visit-wilderness/?ID=769,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-1a7a0c9d765e,fw-4546,,"Public Law 116-9 — John D. Dingell, Jr. Conservation, Management, and Recreation Act",public law,U.S. Congress,2019-03-12,Great Falls Basin Wilderness,https://www.govinfo.gov/content/pkg/PLAW-116publ9/html/PLAW-116publ9.htm,https://www.govinfo.gov/content/pkg/PLAW-116publ9/html/PLAW-116publ9.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-dd497a923ad4,fw-1460,,Hain Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Hain Wilderness,https://wilderness.net/visit-wilderness/?ID=461,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-d9c79c75c63e,fw-1460,,Public Law 94-557 — Wilderness designations act,public law,U.S. Congress,1976-10-19,Hain Wilderness,https://www.govinfo.gov/content/pkg/PLAW-94publ557/html/PLAW-94publ557.htm,https://www.govinfo.gov/content/pkg/PLAW-94publ557/html/PLAW-94publ557.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-a158a9b5d59e,fw-1460,,Public Law 107-370 — Big Sur Wilderness and Conservation Act of 2002,public law,U.S. Congress,2002-12-19,Hain Wilderness,https://www.govinfo.gov/content/pkg/PLAW-107publ370/html/PLAW-107publ370.htm,https://www.govinfo.gov/content/pkg/PLAW-107publ370/html/PLAW-107publ370.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-1366e3abe6ef,fw-1489,,Hauser Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Hauser Wilderness,https://wilderness.net/visit-wilderness/?ID=232,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-d81f3debf267,fw-1489,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,Hauser Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-e2084a641770,fw-1491,,Havasu Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Havasu Wilderness,https://wilderness.net/visit-wilderness/?ID=233,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-801e535c3b9d,fw-1491,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Havasu Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-e9605d306232,fw-1527,,High Rock Canyon Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,High Rock Canyon Wilderness,https://wilderness.net/visit-wilderness/?ID=244,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-bf24cfc55166,fw-1527,,Public Law 106-554 — Black Rock Desert–High Rock Canyon Emigrant Trails NCA Act of 2000,public law,U.S. Congress,2000-12-21,High Rock Canyon Wilderness,https://www.govinfo.gov/content/pkg/PLAW-106publ554/html/PLAW-106publ554.htm,https://www.govinfo.gov/content/pkg/PLAW-106publ554/html/PLAW-106publ554.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-2b88f1fe0885,fw-1543,,Hollow Hills Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Hollow Hills Wilderness,https://wilderness.net/visit-wilderness/?ID=247,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-1d6ffb229512,fw-1543,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Hollow Hills Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-7f6d7158eda5,fw-1562,,Hoover Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Hoover Wilderness,https://wilderness.net/visit-wilderness/?ID=249,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-4482e364b3ed,fw-1562,,Public Law 88-577 — Wilderness Act of 1964,public law,U.S. Congress,1964-09-03,Hoover Wilderness,https://www.govinfo.gov/content/pkg/PLAW-88publ577/html/PLAW-88publ577.htm,https://www.govinfo.gov/content/pkg/PLAW-88publ577/html/PLAW-88publ577.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-a717b7c2772c,fw-1562,,Public Law 111-11 — Omnibus Public Land Management Act of 2009,public law,U.S. Congress,2009-03-30,Hoover Wilderness,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-326e5ddfd031,fw-1611,,Ibex Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Ibex Wilderness,https://wilderness.net/visit-wilderness/?ID=256,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-75e7316d0cf9,fw-1611,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Ibex Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-e128d3b6abf2,fw-1623,,Imperial Refuge Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Imperial Refuge Wilderness,https://wilderness.net/visit-wilderness/?ID=257,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-ff6822809909,fw-1623,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Imperial Refuge Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-d70f587ab8ef,fw-1631,,Indian Pass Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Indian Pass Wilderness,https://wilderness.net/visit-wilderness/?ID=260,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-d6636cc09452,fw-1631,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Indian Pass Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-fd3d5a716191,fw-1641,,Inyo Mountains Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Inyo Mountains Wilderness,https://wilderness.net/visit-wilderness/?ID=263,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-a364f8024e3c,fw-1641,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Inyo Mountains Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-ea3c9e8cbe86,fw-1651,,Ishi Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Ishi Wilderness,https://wilderness.net/visit-wilderness/?ID=266,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-95ee884018c1,fw-1651,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,Ishi Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-3bd12b795fef,fw-1667,,Jacumba Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Jacumba Wilderness,https://wilderness.net/visit-wilderness/?ID=271,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-866718b3b7a3,fw-1667,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Jacumba Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-5ff7a1c19ce0,fw-1687,,Jennie Lakes Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Jennie Lakes Wilderness,https://wilderness.net/visit-wilderness/?ID=276,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-dd1187ac03da,fw-1687,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,Jennie Lakes Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-aa2521c16b32,fw-1704,,John Krebs Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,John Krebs Wilderness,https://wilderness.net/visit-wilderness/?ID=728,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-4108b3ce7ef5,fw-1704,,Public Law 111-11 — Omnibus Public Land Management Act of 2009,public law,U.S. Congress,2009-03-30,John Krebs Wilderness,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-8db35d6a0d91,fw-1706,,John Muir Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,John Muir Wilderness,https://wilderness.net/visit-wilderness/?ID=278,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-8e0b82f574e7,fw-1706,,Public Law 98-425 — California Wilderness Act of 1984,public law,U.S. Congress,1984-09-28,John Muir Wilderness,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,https://www.govinfo.gov/content/pkg/PLAW-98publ425/html/PLAW-98publ425.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
