acec_id,component_id,boundary_represents,designation_applies_to,surface_management_scope,mineral_estate_scope,includes_non_blm_land,non_blm_land_summary,public_access_status,public_access_scope,access_information_source,access_information_source_url,access_information_verified_on,access_information_confidence,land_status_caveat,last_verified,notes
acec-57790de833c6bf,blmca-8f21d46c-0514-4fbe-9260-5fe99e2fdfb3,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-cad1fda48e9eb6,blmca-0f942396-6e06-406a-9fb2-a09b150b04ed,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-6930ea9dede380,blmca-a40a1225-05e6-438b-980b-1b0e15bfcf71,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-6b0bfc8e7385f1,blmca-5d7797b6-51f4-4388-9b2d-9a96c1ec9229,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-a2c380fb602c87,blmca-7c481b82-27c8-4daa-999b-839961b59d7e,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-c97ed0cdfcbdae,blmca-30483d73-69d8-45ca-864c-12f34fd77a79,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-0acef5ecce6ce0,blmca-14f78739-1ebb-4ad2-89ea-cc226ccf0e8e,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-ecc59f84dbe438,blmca-f7cf88f7-b06d-4026-b9fe-ec943d3b5fdc,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-3c49275da2ff7c,blmca-1131e79c-3a03-4bb4-a07d-17771a697564,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-6af14f22098d02,blmca-9707bdba-2883-4030-a857-5471f42c9e8f,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-f85e7284dc76d3,blmca-da88d76a-ef5a-40ca-98bf-0f8873381a6c,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-928e4d8fcf9b05,blmca-f41ca86f-3388-4fe4-ad6c-39843696b57a,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-45c758783b978f,blmca-803a9a91-4d09-4e87-ac25-31dfc77b2240,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-e2b2eb0370dc09,blmca-85cbd7dc-1d47-4e03-8a12-df04d7626e81,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-5102ee29c1279f,blmca-9b8c88c3-304b-45d8-bf33-32a4ab8312e6,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-0af8c68f714a17,blmca-b2f67dd8-a705-4818-b143-16ed43e721ca,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-509418a6c2d75d,blmca-d3409845-861a-48cf-ad11-2afe3e01460b,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-091e00f0dd8853,blmca-c5556740-c87b-40f6-810b-cadecd922066,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-903e84da97e457,blmca-9f83fa7e-9185-4af7-b93a-33bec42ab4d9,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-3204989a2e2142,blmca-4c2735ff-3769-4559-94b3-b7d9fd54d7d9,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-2c13bde9fcc4fa,blmca-c093f3ea-d41d-466a-b2d4-e216c126cf71,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-bbeaa1285514c3,blmca-cf04601d-5b9f-41d0-8f2a-7893130f78cf,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-542efdb5fef0f5,blmca-d621b831-3971-4dfd-9baf-4ff04a2d6202,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-e57347bdd98060,blmca-2114ecd1-1cc2-4db9-a493-020c731ebfd7,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-b2e5dc6ec9bda5,blmca-a1d06ddc-299a-4e58-9604-6c1c21f26f92,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-13aefba9833e50,blmca-41ef1587-8d9f-4cdf-a829-5d418ab58e37,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-f597a32b0f2e2f,blmca-5365af8f-10c1-4178-a5ae-c41938cd5a6d,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-ebea38b48ec039,blmca-2f4ac674-ff81-4b3c-acdb-795d34b3669c,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-7f8e02e30d8ba1,blmca-dc6ffdd3-85be-493c-809b-411388537747,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-7c3af1e43a9f14,blmca-a36b669b-af96-4846-a98f-3eac8584ac77,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-fe0e17f592b671,blmca-441d1865-e3b7-4df8-ade4-ef1b7289948d,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-4db1cd77d45177,blmca-c435c364-83c1-495d-bff1-28218fd93a4b,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-c6832fe4fe69ff,blmca-3f572da3-1623-4d98-85b8-398c00d0b1d7,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-7fb78c567b62dd,blmca-a09ea6c9-3be0-42d9-bcd0-3edc880ca7b2,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-453bbfcefcd2b8,blmca-3ee51f02-3052-4530-b5ab-a55d0fb6de01,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-28ccd8cdd03efe,blmca-94b2ee94-af4d-4a0d-ba6a-684951cbdf49,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-35f6ced14506e5,blmca-9a6fb198-1b65-4fed-b647-c212a0b65c4b,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-821ed0c1f6554b,blmca-3d0ce947-a446-4098-9cb0-0b6e6da2054f,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-d7139601420d37,blmca-f66ec7b0-4c87-4402-b65c-965946d5d5ba,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-e5c050a3f7a22c,blmca-6c065d92-3c2d-4968-aea0-8e08319566a2,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-e6c2af6a943c42,blmca-43eb0662-ceb1-4e09-bcf2-16b58266e874,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-44648eb1139d38,blmca-42578129-aab2-486b-a8e3-b03f7f06b598,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-13046e763ce21f,blmca-27022dc7-3d45-4769-8f3b-d6c331222db1,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-992f147c29afe1,blmca-60acdf75-d342-4559-a838-81bc1809c6ee,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-2b90609859ce74,blmca-ea029309-dbbc-465c-89d1-57f3eab75021,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-c825ac751c4b6c,blmca-c90e4a2d-4b09-4d51-94aa-508de4885b66,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-dd295da0d03980,blmca-6d1c822b-82e0-4ba7-b0b4-7ac498378cff,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-e9e3b76fe04173,blmca-44ef747f-48ca-4b4b-9530-914c2a20f4af,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-029d324461b4fd,blmca-e21a309e-c494-49b6-96e5-ba5a83888949,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-0db5fa64bf3ed1,blmca-902a2b47-ec57-4e96-bbf1-356228b9bc0f,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-f36059a52d6337,blmca-0f2d7bb9-74a0-4f4b-92f8-4230c2e04c47,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-59613849770fce,blmca-b201fdac-dbf3-476a-9c99-c9daedadb7c4,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-e7b7796f0ade7a,blmca-820b1404-7fe7-41ac-bc0e-6f92bf2bce30,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-0f04a118816070,blmca-811bdfe8-ba07-4b03-b4b9-d22f3409278d,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-22fd99f1f52a11,blmca-bf76f70d-1c12-4b48-bbe4-907249edc264,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-29f7d98ecf0deb,blmca-ae7d5cb5-2178-4c82-8374-058cda630fe0,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-7383a744119409,blmca-5b994c88-8d02-4556-9eca-1118f37e7b31,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-7e432c5901abe6,blmca-24a84af4-6d3a-4cc0-9673-124b1db7a28e,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-2f6a2aa00acde4,blmca-fac1e6c2-ea5c-4dea-adc4-6a40c461c326,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-5a013344bad657,blmca-699bccb4-a506-431e-b486-f294c284958a,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-8cb6d52ea6add9,blmca-a6175e86-0c53-49f9-b23e-e5edc584a90b,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-a8362b58c810cc,blmca-a39b5b63-36b4-43a7-91c3-32ef4c297451,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-7bc05b2c8b0ab3,blmca-4490868d-c367-47ae-a286-d3105910f725,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-ffb5fd99225d29,blmca-3e72336a-dcb9-4829-bee8-c52c6557b666,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-17177cc0a3f19c,blmca-f74cfa55-8fd8-4b28-8e26-1a5f25f0b029,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-459ef256536f51,blmca-a0a80e46-bb24-41ce-89e8-1bb7690da769,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-e5fdbe5b590cc4,blmca-d52bb5ed-2b28-4374-9f0a-e8084d49bf7e,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-7555038d7fe3db,blmca-0377cb5e-1dca-419a-9742-4b426c069af5,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-ff9476c993c7fd,blmca-a30599be-cab1-483d-b26c-03fe7ff7940b,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-9ab358b15b0c00,blmca-5cebbbc4-a3e9-4eda-9972-ccd84c8d125c,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-cf2a037802c4f0,blmca-c006b48e-0259-484f-bbff-f3d15ad11f34,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-7dae56cb4e1e91,blmca-c13b22fe-c19f-43e0-9e11-f697ebc826ae,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-32606f71621fa0,blmca-cfaee409-4828-437d-a4cd-26fc5b67e037,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-77c324f5d7499a,blmca-a5eec357-d304-4a3b-b9ee-b00271126ece,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-335cfd344ff221,blmca-a0dc74ae-b530-472c-a6f4-00707b2326b5,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
